Timestamp,"¿De dónde venís? (ciudad, provincia)",¿Cuántos kilómetros hiciste para llegar?,¿En qué llegaste?,¿Cuántas veces te bañaste?,¿A cuántos PyCamp fuiste? (contando el actual)?,¿En cuántos proyectos participaste en este PyCamp?,¿Programaste Python durante el PyCamp?,¿Escuchaste ronquidos?,¿Viniste acompañado?,¿Pensás asistir a otro PyCamp?,¿Participaste de alguna actividad extra?,¿Jugaste algún juego?,Mencioná cosas de las que más te gustaron,¿Qué nota le pondrías a la comida?,¿Qué nota le pondrías a los dormitorios?,¿Qué nota le pondrías a Internet?,¿Qué nota le pondrías al lugar?,¿Volverías a un PyCamp en este mismo lugar?,¿Dónde te gustaría que se haga un PyCamp?,Tu edad,¿Cuál es tu signo del zodíaco?,¿Qué animal del horóscopo chino sos?,¿Cómo describirías tu nivel de manejo de Python?,¿Usas Python en tu profesión?,¿Tenés preferencias o limitaciones alimentarias?,Género autopercibido,¿Tenés hijes?,¿Querés dejar algún otro feedback?
3/25/2023 21:43:13,ciudad autónoma de buenos aires ,1000,Avión,2,5,3,Si,No,No,Sí,Sí,Sí,"pileta, juegos, programar, proyectos",7,5,3,7,Sí,Córdoba ,41,Libra,gallo,avanzaso,Poco,No,Varón Cis,2,Aguante el Pycamp 
3/25/2023 22:00:07,Ciudad autónoma de buenos aires,900,Auto propio (con otros PyCampistas),5,1,1,Si,No,No,Sí,No,Sí,"Colaboración, ambiente",6,6,2,7,Sí,,26,Leo,rata,Masomeno,Nada,No,Varón Cis,0,
3/25/2023 22:01:56,"Rafaela, Santa Fe",650,Auto propio (con otros PyCampistas),4,7,4,Si,No,Si,Sí,No,Sí,"Comunidad, charlas, juegos, comida, chipás, python",10,8,4,10,Sí,Cordoba,30,Virgo,mono,Muy bueno,Mucho,No,Mujer Cis,0,
3/25/2023 22:02:57,Corrientes Capital ,5,Auto propio (solo),4,2,1,Si,No,No,Sí,Sí,Sí,"Charlas, piletas",10,10,4,8,Sí,Salta,31,Capricornio,cabra,Intermedio,Mucho,No,Mujer Cis,1,
3/25/2023 22:06:40,Formosa capital ,180,Auto propio (solo),7,1,1,Si,No,No,Sí,No,Sí,"excelente predisposición, buena onda, el lugar, buenas charlas ",9,9,5,10,Sí,"Formosa, Salta",41,Aries,gallo,Ssr,Mucho,No,Varón Cis,0,
3/25/2023 22:11:15,"Lanus, Buenos Aires",1000,Auto propio (con otros PyCampistas),2,1,1,Si,No,Si,Sí,Sí,Sí,diversidad,9,8,3,7,Tal vez,Las sierras cordobesas,44,Tauro,caballo,,Algo,No,Varón Cis,2,
3/25/2023 22:16:48,"Santa Fe, Santa Fe",566,Ómnibus,3,1,2,Si,No,No,Sí,Sí,Sí,"compañerismo, diversión,aprendizaje,",10,6,6,10,Sí,Rafaela,32,Acuario,cabra,Basico,Poco,Sí,Varón Cis,0,GRACIAS
3/25/2023 22:21:19,"San Francisco, Córdoba",800,Ómnibus,4,1,0,Si,No,No,Sí,Sí,Sí,"Juegos de mesa, las flores",6,7,3,8,Tal vez,Algún pueblo del sur de Argentina - ej. el Bolson ,34,Virgo,dragón,Bastante aceptable,Mucho,Sí,Varón Cis,0,promoción de conciencia alimenticia 
3/25/2023 22:25:24,"Vicente López, Provincia de Buenos Aires",889,Avión,3,3,2,Si,Si,No,Sí,No,Sí,,10,10,5,10,Sí,,36,Leo,tigre,Mediano,Mucho,No,Agénero,0,
3/25/2023 22:26:59,"CABA, Buenos Aires",,Auto (de otro PyCampista),4,2,2,Si,Si,Si,Sí,No,No,,9,6,5,8,Tal vez,,14,Tauro,,,Poco,Sí,Varón Cis,0,
3/25/2023 22:38:57,Córdoba,960,Ómnibus,3,1,2,Si,No,Si,Sí,Sí,Sí,"Libertad para programar, lugar, comida, gente",10,9,5,10,Sí,,25,Sagitario,buey,Basico xd,Nada,No,Mujer Cis,0,Cuestionarios mas cortos jajaja
3/25/2023 23:28:02,"Boedo, ciudad autonoma de buenos aires",913,Auto propio (con otros PyCampistas),6,7,3,Si,No,Si,Sí,No,Sí,BoardGames Amigues Python Comunidad,7,6,4,8,Sí,Bariloche,25,Libra,rata,Intermediamente avanzado,Mucho,Sí,Mujer Cis,0,Gracias por tanto Litox
3/25/2023 23:59:52,"Almafuerte, Córdoba",961,Ómnibus,3,1,2,Si,No,Si,Tal vez,Sí,Sí,"Alojamiento, Ambiente, Perritos<3",9,8,3,9,Sí,nose pero que no haga calor,23,Piscis,dragón,principiante,Nada,No,Varón Cis,0,"muy lindo todo pero me cague un poco de calor, igual me gustó todo :)"
3/26/2023 0:20:41,Córdoba capital ,960,Ómnibus,4,1,2,Si,No,Si,Sí,Sí,Sí,"menos el tiempo sofocante del jueves, todo!!",10,10,3,10,Sí,Patagonia,28,Aries,perro,casi nada,Nada,Sí,,0,Me encantó! =)
3/26/2023 10:49:57,Caba,900,Avión,3,2,1,Si,Si,No,Sí,Sí,Sí,"compañerismo, buena onda, curiosidad",9,7,5,9,Sí,San Luis,29,Leo,gallo,Medio-alto,Mucho,No,Varón Cis,0,
3/26/2023 11:05:23,"Ciudad de Salta, Salta",850,Ómnibus,4,2,0,Si,No,No,Sí,Sí,Sí,"Proyectos, juegos, conversar, compartir experiencias, comida, cama",10,10,5,8,Sí,Salta,51,Sagitario,cerdo,Aceptable ,Mucho,No,Varón Cis,0,Hacer lo posible por coordinar previamente todos los detalles técnicos
