Timestamp,¿De dónde venís? (por lo menos ciudad + provincia),¿Cuántos kilómetros hiciste para llegar?,¿En qué llegaste?,¿Cuántas veces te bañaste?,¿A cuántos PyCamp fuiste? (contando el actual)?,¿En cuántos proyectos participaste en este PyCamp?,¿Programaste Python durante el PyCamp?,¿Escuchaste ronquidos?,¿Viniste acompañado?,¿Pensás asistir a otro PyCamp?,¿Participaste de alguna actividad extra?,¿Jugaste algún juego?,Mencioná cosas de las que más te gustaron,¿Qué nota le pondrías a la comida?,¿Qué nota le pondrías a los dormitorios?,¿Qué nota le pondrías a Internet?,¿Qué nota le pondrías al lugar?,¿Volverías a un PyCamp en este mismo lugar?,¿Dónde te gustaría que se haga un PyCamp?,Tu edad,¿Cuál es tu signo del zodíaco?,¿Qué animal del horóscopo chino sos?,¿Cómo describirías tu nivel de manejo de Python?,¿Usas Python en tu profesión?,¿Tenés preferencias o limitaciones alimentarias?,Género autopercibido,¿Tenés hijes?,¿Querés dejar algún otro feedback?
3/24/2025 1:09:17,"Vicente López, Buenos Aires",150,Auto propio (con otros PyCampistas),4,17,3,Si,Si,Si,Sí,No,Sí,Comunidad,6,6,8,8,Sí,Antártida,49,Tauro,cerdo,Pim pum,Mucho,No,Varón Cis,2,Javi hizo trampa
3/24/2025 1:09:46,Gualeguay,200,Ómnibus,2,4,2,Si,No,Si,Sí,Sí,Sí,"internet, habitaciones",10,10,6,7,Sí,Rafaela,25,,,Junior,Nada,No,Varón Cis,0,
3/24/2025 1:09:53,Ciudad Autónoma de Buenos Aires,156,Ómnibus,3,1,2,Si,No,Si,Sí,Sí,Sí,"Espadas, juegos de mesa, charlas, comida",9,7,6,7,Sí,Villa La Angostura ,22,Cáncer,caballo,Intermedio,Mucho,Sí,Mujer Cis,0,
3/24/2025 1:10:20,"Villa Pueyrredón, CABA",125,Ómnibus,3,1,1,Si,No,Si,Sí,No,Sí,PyAcro me encantó ,10,10,5,10,Sí,Las Malvinas,21,Virgo,cabra,0,Poco,No,Mujer Cis,0,Son muy buenas las sábanas 
3/24/2025 1:11:03,"Banfield, Buenos Aires",165,Auto (de otro PyCampista),6,4,2,Si,Si,No,Sí,Sí,Sí,Comida pileta juegos,9,10,9,9,Sí,Mar del plata,45,Géminis,mono,Experto,Mucho,No,Varón Cis,0,
3/24/2025 1:11:16,"Caba, palermo",156,Ómnibus,3,1,2,Si,No,Si,Sí,Sí,Sí,"Juegos, lugar, buena onda, comida, actividades, proyectos",9,9,5,9,Sí,Caba o Córdoba ,27,Escorpión,buey,Intermedio,Nada,No,Varón Cis,0,Me gustó mucho!
3/24/2025 1:11:23,"Ezeiza, Buenos Aires",140,Ómnibus,0,0,1,Si,No,No,Tal vez,No,Sí,"Juegos, Gente",8,6,5,7,Sí,Marte,20,Cáncer,mono,Medio,Poco,Sí,Varón Cis,0,
3/24/2025 1:11:41,"Vicente Lopez, Bs As",125,Ómnibus,4,1,2,Si,No,Si,Sí,Sí,Sí,"la buena onda, la gente copada, habitaciones, comida, snacks, merienda!!!",10,10,8,10,Sí,LA LUNA!!!,23,Virgo,serpiente,me las arreglo,Algo,Sí,Mujer Cis,0,:-)!!!
3/24/2025 1:11:42,Resistencia,900,Ómnibus,3,12,4,Si,No,Si,Sí,Sí,Sí,,8,8,10,8,Sí,Termas de Entre Rios,51,Tauro,buey,Avanzado,Mucho,No,Mujer Cis,2,
3/24/2025 1:13:15,"Monte vera, santa fe",350,Auto (de otro PyCampista),10,6,2,Si,No,No,Sí,Sí,Sí,"Ventilastation, retropython, comida, truco, charlas, amigues",10,10,10,10,Sí,Córdoba ,41,Cáncer,cerdo,Mague,Algo,No,Varón Cis,1,
3/24/2025 1:13:34,"Solano, Buenos Aires",180,Auto (de otro PyCampista),4,4,2,Si,Si,No,Sí,Sí,Sí,"Comunidad, amistad, cooperación ",6,7,7,7,Sí,,40,Virgo,rata,Semi senior,Mucho,No,Varón Cis,2,
3/24/2025 1:14:58,Paraná ,450,Auto propio (con otros PyCampistas),4,5,3,No,Si,No,Sí,Sí,Sí,Comida,9,8,9,9,Sí,,39,Sagitario,dragón,Añejo,Mucho,No,Varón Cis,0,Gracias por lo que hacen
3/24/2025 1:18:50,Buenos Aires,350,Auto propio (con otros PyCampistas),2,10,2,Si,No,Si,Sí,Sí,Sí,Amigxs,7,6,9,7,Sí,Mendoza,39,Aries,tigre,Avanzado,Mucho,Sí,Varón Cis,0,
3/24/2025 1:23:21,"Alta Gracia, Cordoba",650,Auto (de otro PyCampista),3,1,2,Si,No,No,Sí,Sí,Sí,"Charlas, compartir, onda, comunidad",8,7,9,9,Sí,"Purmamarca, Jujuy",44,Aries,mono,Senior,Mucho,No,Varón Cis,2,Hermosa la experiencia. Estoy extremadamente agradecido. Gracias!!
3/24/2025 1:28:37,"Luis Palacios, santa Fe ",200,Auto propio (con otros PyCampistas),4,5,3,Si,No,No,Sí,Sí,Sí,Reencontrarme con la comunidad ,7,8,9,8,Sí,En el sur,35,Capricornio,caballo,Vendo humo pero las cosas funcionan ,Mucho,No,Varón Cis,0,
3/24/2025 5:57:41,CABA ,150,Auto (de otro PyCampista),2,1,2,Si,No,No,Tal vez,Sí,Sí,"juegos de mesa, compartir hobbies",10,10,10,10,Sí,Rafaela,25,Cáncer,conejo,principiante ,Algo,No,No binarie,0,
3/24/2025 10:02:18,"Arenales 1502, Florida, Provincia de Buenos Aires",137,Auto (de otro PyCampista),4,5,1,Si,Si,No,Sí,No,Sí,,6,5,9,7,Tal vez,,38,Leo,tigre,Intermedio,Mucho,No,Agénero,0,
