Timestamp,¿De dónde venís? (por lo menos ciudad + provincia),¿Cuántos kilómetros hiciste para llegar?,¿En qué llegaste?,¿Cuántas veces te bañaste?,¿A cuántos PyCamp fuiste? (contando el actual)?,¿En cuántos proyectos participaste en este PyCamp?,¿Programaste Python durante el PyCamp?,¿Escuchaste ronquidos?,¿Viniste acompañado?,¿Pensás asistir a otro PyCamp?,¿Participaste de alguna actividad extra?,¿Jugaste algún juego?,Mencioná cosas de las que más te gustaron,¿Qué nota le pondrías a la comida?,¿Qué nota le pondrías a los dormitorios?,¿Qué nota le pondrías a Internet?,¿Qué nota le pondrías al lugar?,¿Volverías a un PyCamp en este mismo lugar?,¿Dónde te gustaría que se haga un PyCamp?,Tu edad,¿Cuál es tu signo del zodíaco?,¿Qué animal del horóscopo chino sos?,¿Cómo describirías tu nivel de manejo de Python?,¿Usas Python en tu profesión?,¿Tenés preferencias o limitaciones alimentarias?,Género autopercibido,¿Tenés hijes?,¿Querés dejar algún otro feedback?
3/23/2026 22:03:00,"Santa Fe, Santa Fe",1798,Ómnibus,3,2,1,Si,Si,No,Sí,Sí,Sí,"Gente, Juegos, ping pong, ",10,8,6,10,No,Rosario,35,Acuario,cabra,Principiante,Poco,Sí,Varón Cis,0,Aguante el pycamp
3/23/2026 22:05:53,Capital Federal ,1600,Auto (de otro PyCampista),4,1,1,Si,Si,No,Sí,Sí,Sí,"Actividades, juegos de mesa, la gente y las conversaciones interesantes ",4,8,2,8,Tal vez,,28,Aries,buey,Principiante ,Nada,No,Varón Cis,0,
3/23/2026 22:08:20,Luyaba Cba,1200,Avión,2,6,2,Si,Si,No,Sí,Sí,Sí,"pythonEsDroga, pythonEsDroga, pythonEsDroga, pythonEsDroga, pythonEsDroga, pythonEsDroga, pythonEsDroga, pythonEsDroga, pythonEsDroga, pythonEsDroga, pythonEsDroga, pythonEsDroga, pythonEsDroga, pythonEsDroga, pythonEsDroga, pythonEsDroga, ",10,9,5,10,No,Brasil,33,Leo,mono,Schumager,Mucho,No,Alien,0,No
3/23/2026 22:18:09,Ciudad Autónoma de Buenos Aires ,1600,Auto propio (con otros PyCampistas),4,1,2,Si,Si,Si,Sí,Sí,Sí,,9,6,7,9,Sí,Corrientes,29,Leo,rata,Decente,Mucho,No,Varón Cis,0,
3/23/2026 22:18:24,CABA,1200,Auto (de otro PyCampista),4,1,1,Si,No,Si,Sí,Sí,Sí,"Guitarra, pingpong, comida",10,7,5,10,Sí,VLA,33,Escorpión,perro,Accidentado,Mucho,No,Varón Cis,0,
3/23/2026 22:18:55,Hurlingham. Capital del mundo,1200,Avión,1,3,2,Si,Si,No,Sí,Sí,Sí,Python pedantle,6,7,8,8,Tal vez,Dominicana. Catamarca,41,Escorpión,rata,Vergonzoso,Mucho,No,Varón Cis,1,Gracias por todo!!!! 🫶🏻🫶🏻🫶🏻
3/23/2026 22:19:25,"Rafaela, Santa Fe",1800,Avión,4,10,3,Si,Si,Si,Sí,No,Sí,comunidad juegos python,10,8,6,10,Sí,cordoba,34,Virgo,mono,Alto,Mucho,No,Mujer Cis,0,Excelente pycamp!
3/23/2026 22:19:49,"Rafaela, Santa Fe",1500,Avión,5,16,2,Si,Si,Si,Sí,No,Sí,la gente,8,8,6,9,Sí,rafaela,38,Cáncer,conejo,experto,Mucho,Sí,Varón Cis,0,pycammmmmpppppp
3/23/2026 22:23:39,"Lago puelo, chubut",250,Auto propio (con otros PyCampistas),4,1,1,Si,Si,No,Sí,Sí,Sí,Conocer y estar en contacto durante estos días con gente que comparte gustos/problematicas laborales similares,10,8,2,9,Sí,,36,Aries,dragón,Muy rudimentario,Poco,No,Varón Cis,0,Muuuchas gracias por generar este tipo de espacios!
3/23/2026 22:25:01,CABA,1000,Avión,3,5,2,Si,No,Si,Sí,Sí,Sí,,10,9,5,10,Tal vez,Córdoba,50,Géminis,conejo,PyVibeCoding,Algo,No,Varón Cis,2,Extrañe a varios PyCampistas Habitues
3/23/2026 22:25:22,"Vicente López, Provincia de Buenos Aires",2000,Avión,3,,6,No,Si,No,Sí,No,Sí,"Charlas,Ping pong",9,8,7,10,Sí,,39,Leo,tigre,Intermedio,Mucho,No,Agénero,0,
3/23/2026 22:26:52,Provincia Bs As,1200,Avión,3,5,2,Si,No,Si,Sí,Sí,Sí,"Ping Pong, Comida",10,10,6,9,Tal vez,,16,Libra,,Safo,Nada,No,Varón Cis,0,=D
3/23/2026 22:27:00,"Santa Fe, Santa Fe",1900,Avión,4,1,2,Si,Si,Si,Tal vez,Sí,Sí,"Lugar, personas, aprendizaje, charlas, pool, guitarra ",6,7,1,10,Tal vez,Santa Fe,44,Aries,gallo,Arrancando,Nada,No,Mujer Cis,1,"Internet fue un problema, siento que se cancelaron varios proyectos y que programar los bots para la competencia se llevó casi toda la atención. Vi mucha camaradería y predisposición a enseñar y responder a mis preguntas que tengo muy poca idea y me voy con muchas más herramientas y aprendizaje para seguir avanzando por mi cuenta "
3/23/2026 22:35:51,Villa Adelina - Buenos Aires ,1600,Avión,3,8,1,Si,Si,No,Sí,Sí,Sí,La gente,8,9,6,10,Sí,Córdoba ,56,Géminis,gallo,Basico,Poco,Sí,Mujer Cis,0,Buenísimo siempre venir a los pycamps
3/23/2026 22:39:11,CABA,1500,Avión,3,3,2,Si,Si,Si,Sí,Sí,Sí,"Villa La Angostura, ping pong, juegos de mesa, show and tell de IA",8,9,3,7,Tal vez,Córdoba,36,Cáncer,serpiente,Medio,Algo,No,Mujer Cis,0,"Los quiero mucho pycamps, sigan asi ^^"
3/23/2026 22:39:26,CABA,1500,Avión,2,5,2,No,No,Si,Sí,Sí,Sí,Predio,10,8,5,9,Sí,Tilcara,27,Virgo,tigre,Básico,Nada,No,Varón Cis,0,
